Number_of_prior_offenses,Frequency_of_previous_bail_violations,Potential_sentence_length,Age,Existing_debts_or_liabilities,Bail_amount,Severity_of_current_offense,Types_of_prior_offenses,Gender,Employment_status,Marital_status,Financial_stability,Property_ownership,Family_connections,Community_involvement,Stability_of_residence,Previous_compliance_with_court_orders,History_of_bail_conditions_adherence,Attempt_to_Flee
1,2,1,25,55449,49706,Medium,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Rents,Weak,Active,Stable,Compliant,Adherent,No
5,8,9,38,62480,3004,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Rents,Strong,Active,Stable,Non-Compliant,Adherent,Yes
7,5,13,30,94180,35542,Low,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Unstable,No_Property,Weak,None,Stable,Compliant,Adherent,Yes
9,2,19,36,65682,46200,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Owns_Property,Weak,Inactive,Stable,Compliant,Adherent,No
10,9,7,49,81127,3535,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
9,0,18,39,50361,38032,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Owns_Property,None,None,Stable,Compliant,Adherent,No
17,2,19,44,72178,43698,Low,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,Rents,Strong,Active,Unstable,Non-Compliant,Adherent,Yes
4,0,3,74,60942,48380,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,Strong,Active,Unstable,Compliant,Adherent,No
9,1,6,53,82041,1457,Low,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,Owns_Property,Weak,Inactive,Stable,Non-Compliant,Adherent,No
3,3,16,35,46810,7880,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,No_Property,Weak,Inactive,Unstable,Compliant,Adherent,No
2,1,18,54,86485,12996,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Weak,Inactive,Unstable,Compliant,Adherent,No
2,3,14,76,6240,6029,High,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Unstable,No_Property,Strong,Inactive,Stable,Compliant,Adherent,No
2,4,15,58,13459,9711,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,Strong,Active,Stable,Non-Compliant,Non-Adherent,Yes
11,0,11,21,66470,26702,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,No_Property,Strong,Inactive,Unstable,Compliant,Adherent,Yes
4,1,1,27,11811,49146,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Weak,Inactive,Stable,Compliant,Adherent,No
5,3,1,31,96280,42847,High,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Stable,Rents,Strong,Inactive,Stable,Non-Compliant,Adherent,No
3,2,16,69,11112,13248,Low,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Rents,Strong,Active,Stable,Non-Compliant,Adherent,No
13,2,6,37,93852,30727,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Rents,Weak,Inactive,Unstable,Compliant,Adherent,Yes
11,7,7,20,21475,24559,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,Weak,Active,Stable,Compliant,Adherent,Yes
14,5,17,52,40485,28409,Medium,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,Yes
8,3,11,76,6376,44288,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,None,Active,Unstable,Compliant,Adherent,No
7,6,9,59,33984,6815,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Stable,Rents,None,Active,Stable,Non-Compliant,Non-Adherent,Yes
2,1,6,21,6191,49777,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Weak,Active,Stable,Compliant,Adherent,No
7,3,10,45,39651,41053,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
1,8,14,20,99082,24865,Low,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,No_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
19,8,15,56,79170,17919,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Weak,Inactive,Unstable,Compliant,Non-Adherent,Yes
9,0,5,25,37963,26689,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Rents,Strong,Active,Stable,Compliant,Adherent,No
3,3,6,20,92003,12934,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Rents,None,Inactive,Stable,Compliant,Adherent,No
1,1,5,61,15884,10167,High,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,No
3,3,8,35,31617,31218,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,Strong,Active,Stable,Compliant,Non-Adherent,Yes
17,4,11,68,69738,49288,High,Violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,No_Property,Strong,Active,Stable,Compliant,Non-Adherent,Yes
19,9,5,69,75952,20688,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,None,Inactive,Stable,Compliant,Non-Adherent,Yes
9,6,14,47,17222,7727,Medium,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Rents,Strong,None,Stable,Compliant,Adherent,Yes
3,7,16,37,6970,33264,Low,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,No_Property,None,Inactive,Stable,Non-Compliant,Adherent,Yes
15,3,13,64,67583,31956,Low,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,Rents,Strong,None,Stable,Compliant,Adherent,Yes
10,1,17,26,32313,46589,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
19,5,14,76,80218,44180,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Rents,Strong,None,Unstable,Compliant,Adherent,Yes
7,7,11,23,102,23173,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,No_Property,Strong,Active,Stable,Compliant,Adherent,Yes
4,2,9,79,83959,37118,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Strong,None,Unstable,Compliant,Adherent,No
5,2,13,28,75718,49720,High,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Rents,Weak,Inactive,Unstable,Compliant,Adherent,No
9,0,5,65,11556,2136,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
10,3,11,62,79404,48691,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,No_Property,None,Inactive,Stable,Compliant,Non-Adherent,Yes
4,0,1,63,23163,31829,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Active,Stable,Non-Compliant,Adherent,No
10,2,4,30,62973,33258,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Rents,Strong,None,Stable,Non-Compliant,Non-Adherent,Yes
8,8,10,34,49030,28586,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Weak,Inactive,Unstable,Compliant,Adherent,Yes
4,4,1,68,35030,35106,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Owns_Property,None,Inactive,Unstable,Compliant,Adherent,Yes
5,0,1,77,17578,33029,High,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,No_Property,Strong,None,Stable,Non-Compliant,Adherent,No
16,5,11,65,45593,4236,High,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,Strong,Active,Unstable,Compliant,Adherent,Yes
2,1,13,74,10303,5021,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,No_Property,Strong,Active,Unstable,Compliant,Adherent,No
4,1,9,45,53590,33476,Medium,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,No_Property,Strong,Active,Stable,Non-Compliant,Adherent,No
7,2,16,20,44778,13126,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,Strong,None,Stable,Compliant,Adherent,No
5,3,3,71,75094,21648,Low,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Unstable,Rents,Weak,Inactive,Stable,Non-Compliant,Adherent,No
9,2,16,67,91664,31754,Medium,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Stable,No_Property,Weak,Active,Stable,Compliant,Adherent,No
3,0,7,41,96669,12192,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
9,7,15,59,37135,31593,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,Strong,None,Stable,Compliant,Adherent,Yes
13,1,9,69,19597,4633,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Rents,Weak,Inactive,Stable,Compliant,Adherent,Yes
8,0,12,47,55900,43552,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Rents,Strong,Active,Stable,Compliant,Adherent,No
4,2,19,72,33531,49719,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Rents,None,Active,Unstable,Compliant,Adherent,No
12,4,8,19,79268,30201,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Strong,Inactive,Unstable,Compliant,Adherent,Yes
1,0,18,54,1342,45692,High,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Owns_Property,Strong,None,Stable,Compliant,Adherent,No
10,8,6,20,26371,16065,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
8,0,2,20,58762,12793,High,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Owns_Property,Weak,None,Stable,Compliant,Adherent,No
10,0,4,30,76995,22331,Medium,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
10,7,18,29,5054,13157,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,Weak,Inactive,Stable,Compliant,Adherent,Yes
9,1,7,49,30972,22498,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Rents,None,None,Stable,Compliant,Adherent,No
10,0,5,49,40860,28512,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,No_Property,Strong,Active,Stable,Compliant,Adherent,No
0,7,1,66,10841,44772,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,No_Property,Strong,None,Stable,Compliant,Non-Adherent,Yes
3,8,2,52,8540,27030,Medium,Violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,Owns_Property,Weak,None,Stable,Compliant,Adherent,Yes
6,5,6,39,22436,37162,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Rents,Strong,Active,Unstable,Compliant,Adherent,Yes
0,3,3,67,73397,16206,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,Strong,Active,Unstable,Compliant,Adherent,No
13,2,6,31,41066,40066,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Owns_Property,Weak,None,Stable,Compliant,Adherent,Yes
9,5,11,63,93164,22550,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,None,Inactive,Stable,Compliant,Adherent,Yes
11,1,16,65,92449,28360,High,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Rents,Weak,Active,Unstable,Compliant,Non-Adherent,Yes
2,9,4,60,47603,47563,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
0,7,9,24,89615,17234,Medium,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,No_Property,Weak,Inactive,Stable,Compliant,Adherent,Yes
4,3,6,56,74289,44144,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Rents,None,Active,Unstable,Non-Compliant,Adherent,No
15,5,19,36,18917,35158,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,Weak,Inactive,Stable,Non-Compliant,Adherent,Yes
3,8,4,55,83034,28325,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,No_Property,None,Inactive,Stable,Non-Compliant,Adherent,Yes
4,9,13,78,68467,44165,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,No_Property,None,Active,Stable,Compliant,Adherent,Yes
8,3,14,45,67006,44740,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,None,Inactive,Stable,Compliant,Adherent,No
10,1,7,66,14149,39599,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Strong,Active,Stable,Compliant,Adherent,No
6,3,8,79,84507,22725,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Rents,Weak,Inactive,Unstable,Compliant,Adherent,No
6,3,9,25,63605,21505,High,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Rents,Weak,Active,Stable,Non-Compliant,Adherent,No
4,2,6,26,73319,41254,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,No_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,No
7,2,15,76,50495,13885,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,No_Property,Weak,Inactive,Stable,Compliant,Adherent,No
8,5,17,65,62446,42834,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,None,Active,Unstable,Compliant,Adherent,Yes
8,0,14,59,17808,45961,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,No_Property,Weak,None,Stable,Compliant,Adherent,No
16,7,17,26,67948,21181,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Rents,None,Active,Stable,Compliant,Adherent,Yes
19,2,6,59,65832,44749,Medium,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Owns_Property,Weak,Inactive,Stable,Non-Compliant,Adherent,Yes
8,0,1,58,24194,22947,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
7,8,6,49,30812,29441,Low,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,Owns_Property,None,Inactive,Unstable,Compliant,Adherent,Yes
4,5,2,31,93447,40168,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Strong,Active,Stable,Non-Compliant,Adherent,Yes
6,2,4,68,93964,20093,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,Weak,Inactive,Stable,Non-Compliant,Adherent,No
12,1,6,76,17956,43140,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,No_Property,Strong,Active,Stable,Non-Compliant,Adherent,Yes
0,1,4,51,15930,14322,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Rents,Strong,None,Unstable,Compliant,Adherent,No
16,9,14,69,7171,32203,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,None,Inactive,Stable,Non-Compliant,Adherent,Yes
6,2,15,58,82321,12858,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,Weak,Active,Stable,Compliant,Adherent,No
15,9,7,21,10814,20423,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Rents,Strong,Active,Stable,Non-Compliant,Non-Adherent,Yes
7,5,8,77,9001,32064,High,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,No_Property,Weak,Inactive,Stable,Non-Compliant,Adherent,Yes
2,1,8,30,42063,36578,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,No_Property,Weak,Active,Unstable,Compliant,Adherent,No
1,3,4,61,12038,9263,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,No
18,1,18,38,87187,24578,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,None,Inactive,Stable,Compliant,Adherent,Yes
11,1,11,75,20738,14496,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,None,None,Stable,Compliant,Non-Adherent,Yes
7,0,19,25,28530,38296,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,Strong,Active,Stable,Non-Compliant,Adherent,No
19,8,11,35,45446,36275,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,No_Property,Strong,Active,Stable,Compliant,Adherent,Yes
14,8,3,74,84928,30312,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,None,Inactive,Stable,Compliant,Adherent,Yes
14,6,13,65,96227,34898,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,No_Property,Weak,Inactive,Stable,Compliant,Adherent,Yes
18,6,11,30,95327,5183,High,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Owns_Property,Strong,None,Stable,Compliant,Non-Adherent,Yes
17,4,15,74,13642,41254,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,No_Property,Weak,Inactive,Stable,Compliant,Adherent,Yes
13,4,5,73,10650,48271,High,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,None,Active,Stable,Compliant,Adherent,Yes
0,0,9,26,92696,14710,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,None,None,Stable,Compliant,Adherent,No
19,9,5,68,51451,35648,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,No_Property,Weak,Inactive,Unstable,Non-Compliant,Adherent,Yes
10,3,16,23,76336,3460,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Weak,Inactive,Stable,Compliant,Adherent,No
5,2,4,29,98649,16646,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
8,0,10,48,86229,17750,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,Rents,Strong,None,Unstable,Compliant,Adherent,No
9,1,7,49,30972,22498,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Rents,None,None,Stable,Compliant,Adherent,No
3,2,2,21,70352,49061,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Rents,Weak,None,Unstable,Non-Compliant,Adherent,No
1,0,7,32,68354,6579,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,No_Property,Weak,Inactive,Unstable,Compliant,Non-Adherent,Yes
15,5,13,22,25221,26286,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,Owns_Property,Strong,None,Stable,Compliant,Adherent,Yes
12,5,15,64,12759,20834,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
6,8,12,69,9452,45094,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,No_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
8,0,10,59,31196,24370,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Weak,Inactive,Stable,Compliant,Adherent,No
10,4,19,28,46335,18080,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,Yes
3,8,2,24,55674,17914,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Owns_Property,Weak,None,Stable,Non-Compliant,Adherent,Yes
11,0,17,70,3975,48859,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
16,6,3,43,26401,17494,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Rents,Weak,None,Stable,Compliant,Adherent,Yes
11,6,19,27,6826,35923,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Rents,Strong,Active,Stable,Compliant,Adherent,Yes
6,4,2,64,33186,5627,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Owns_Property,Strong,Inactive,Unstable,Compliant,Adherent,Yes
1,3,4,44,14577,10575,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,No_Property,Weak,Active,Unstable,Non-Compliant,Adherent,No
0,3,5,32,69919,40871,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
5,2,17,73,99929,4415,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
10,2,8,41,13844,44933,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,None,Inactive,Stable,Compliant,Adherent,No
4,3,17,44,2484,9284,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
1,0,13,77,71171,22494,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Rents,Strong,None,Stable,Non-Compliant,Adherent,No
10,1,9,45,67427,11552,High,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,No_Property,Strong,None,Stable,Non-Compliant,Adherent,No
13,5,19,55,82858,39299,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,Yes
8,3,16,41,27101,40474,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,No
0,2,11,45,82457,35227,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Owns_Property,None,Active,Unstable,Non-Compliant,Adherent,No
19,5,17,66,29892,34224,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
2,3,10,22,65183,37786,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Rents,Strong,Active,Unstable,Compliant,Non-Adherent,Yes
8,3,12,39,35674,41910,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,Owns_Property,Strong,None,Unstable,Compliant,Non-Adherent,Yes
5,6,12,25,76579,6537,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,None,Active,Stable,Compliant,Adherent,Yes
6,9,18,71,92578,15801,Low,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Unstable,Owns_Property,Strong,Active,Stable,Non-Compliant,Adherent,Yes
14,2,12,56,38808,34351,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,No_Property,None,Inactive,Stable,Compliant,Adherent,Yes
